COMPANY NAME,INDUSTRY,MARKET SIZE,COUNTRY,COMPANY SIZE,FUNDED YEAR,SHUTDOWN YEAR,YEARS ACTIVE,TOTAL FUNDING,FUNDING ROUNDS,LAST FUNDING STAGE,FINAL FUNDING ,# FOUNDERS,FOUNDER NAMES,FOUNDERS LEFT,KEY EXEC DEPARTURE,OFFICIAL CAUSE (DETAILED),MAIN CAUSE
Sprig,Food Delivery,$100B,USA,300,2013,2017,4,$56M,4,Series B ,$40M,1,Rafa de Corral,-,-,Postmates/Uber competition - 70% cost reduction forced shutdown tech,Competition
Fab.com,E-commerce,$200B,USA,550,2010,2017,7,$336M,6,Late ,$150M,2,Jason Goldberg,-,CEO resigned,Pivot failure - Furniture pivot lost design customers alltopstartups,Pivot
Better Place,EV Infra,$10B,Israel,"1,200",2007,2013,6,$850M,6,Series D,,1,Shai Agassi,-,-,"Battery switching failure - 1,000 stations, 900 cars sold",Battery
Solyndra,Solar,$100B,USA,"1,500",2005,2011,6,$1.2B,5,Gov grants,,3,"Wofsy, Siva, Granger",-,-,Chinese solar price crash - Polysilicon prices fell 90% thequickreport,Prices
Webvan,Grocery,$100B,USA,"2,000",1996,2001,5,$830M,4,IPO,,2,"Borders, Johnson",-,-,Logistics burn - $1M/day losses; 28 warehouses unprofitable alltopstartups,Logistics
Pets.com,Pet E-comm,$20B,USA,320,1998,2000,2,$300M,3,IPO,,1,Julie Wainwright,-,-,"Super Bowl ad disaster - $11M sock puppet campaign, $11M revenue alltopstartups",Marketing
Luckin Coffee,F&B,$50B,China,"8,000",2017,2020,3,$500M+,4,IPO,,2,"Qian Zhiya, Guo Sin",-,-,$310M revenue fraud - Fabricated 39M transactions thequickreport,Fraud
Greensill,Fintech,$10T,Australia,"1,000",2011,2021,10,$1.7B,7,Late,,1,Lex Greensill,-,-,Credit insurance cancellation - $4.6B Greensill Capital exposure,Insurance
Outcome Health,Healthcare,$50B,USA,800,2010,2019,9,$487M,6,Late,,2,Rishi Shah,-,-,Ad fraud - 85% screen installation lies; $200M settlement,Fraud
Arrivo,Hyperloop,$1T,USA,200,2016,2019,3,$1B,3,Corp,,1,Brogan BamBrogan,-,-,Hyperloop One funding cut - Strategic pivot to tunnels graffersid,Funding
IRL,Social,$50B,USA,100,2017,2022,5,$200M,4,Series C,,2,Abraham Shafi,-,-,Apple privacy changes - IDFA loss killed event targeting marketrealist,Privacy
Freshly,Meal Kit,$50B,USA,"1,000",2012,2022,10,$250M,5,Late,,1,Michael Pertschuk,-,Acquired,Nestle acquisition - $1.25B buyout ended independence marketrealist,Acquired
CommonBond,Fintech,$500B,USA,300,2011,2020,9,$500M,6,Late,,2,Matt Hogan,-,-,COVID student loan pause - 90% revenue from originations marketrealist,COVID
Goldfinch Bio,Biotech,$100B,USA,150,2016,2023,7,$160M,4,Series C,,2,Jake Schreiber,-,-,Phase 2 trial failure - GFB-887 kidney drug missed endpoints marketrealist,Clinical
Airlift,Delivery,$50B,Pakistan,500,2019,2022,3,$85M,3,Series B,,2,Ahmed Ashfaq,-,-,Pakistan funding winter - VC capital evaporated post-COVID marketrealist,Funding
Reali,Real Estate,$1T,USA,300,2015,2022,7,$370M,5,Late,,2,Multiple,-,-,Fed rate hikes - Mortgage originations collapsed 80% marketrealist,Rates
Amp'd Mobile,Telecom,$50B,USA,250,2005,2008,3,$360M,4,Late,,1,Anderson,-,-,Prepaid phone debt - Missed $7M vendor payments alltopstartups,Debt
Kozmo.com,Delivery,$100B,USA,"2,000",1998,2001,3,$280M,4,Late,,1,Joseph Park,-,-,Free delivery burn - $100M losses on $2 delivery fees alltopstartups,Delivery
eToys,E-comm,$50B,USA,"2,500",1997,2001,4,$166M,3,IPO,,2,Toby Lenk,-,-,Holiday inventory glut - $300M inventory vs $162M cash alltopstartups,Inventory
Caspian Networks,Telecom,$100B,USA,"1,000",2000,2006,6,$317M,5,Late,,2,Multiple,-,-,Carrier capex cuts - Post-dotcom telecom spending froze alltopstartups,Capex
Brience,Software,$50B,USA,400,1999,2001,2,$200M,3,Late,,1,Deepak Kumar,-,-,Dot-com crash - Enterprise software spend halted alltopstartups,Crash
Springpad,Productivity,$10B,USA,50,2008,2014,6,$7M,2,Seed,,2,Amr Awadallah,-,-,Evernote competition - Server costs unsustainable tech,Competition
Doppler Labs,Audio,$10B,USA,40,2013,2017,4,$51M,3,Series B,,2,Noah Kraft,-,-,"Here One earbuds - Firmware issues, couldn't ship graffersid",Hardware
PepperTap,Grocery,$50B,India,200,2014,2016,2,$51M,3,Series B,,2,Avni Singh,-,-,Amazon/Flipkart entry - India grocery market consolidated graffersid,Competition
Northvolt,Batteries,$500B,Sweden,"4,500",2016,2024,8,$13.8B,10,Late,,3,"Paunila, Laurén, Vogt",-,-,Gigafactory delays - 18 months behind schedule,Delays
Getir,Delivery,$1T,Turkey,"12,000",2015,2024,9,$5.5B,8,Late,,1,Naz?m Salur,-,-,US/UK market exit - $1B+ annual losses,Losses
Byju's,Edtech,$100B,India,"10,000",2011,2024,13,$5.5B,15,Late,,1,Byju Raveendran,-,-,$1.2B debt default - Lenders seized US subsidiaries,Debt
SunEdison,Solar,$1T,USA,"15,000",1984,2016,32,$12B+,Public,Debt,,1,Jigar Shah,-,CEO resigned,$16B project pipeline - $2B quarterly debt service,Debt
